Model,Track ID,Text,Genre,True Labels,Top Predictions
Context BERT,57274,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.749); noise (0.220); folk (0.214); rock (0.163); electronic (0.142)
Context BERT,59581,Title: Búsqueda exploratoria #005 - Tu pars.mp3. Artist: Circus Marcus. Album: Búsquedas Exploratorias. Genre: International,International,"improvisation, classical",electronica (0.306); electronic (0.208); experimental (0.204); compilation (0.163); instrumental (0.138)
Context BERT,63064,"Title: Underwater. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,experimental (0.257); electronic (0.222); techno (0.217); idm (0.201); electronica (0.191)
Context BERT,63065,"Title: Starkey. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,experimental (0.235); techno (0.219); electronic (0.214); idm (0.189); instrumental (0.185)
Context BERT,84777,Title: Nothings Wrong (Shufflin' Edit). Artist: Howse. Album: AS220's Spring Sampler 2013. Genre: Electronic,Electronic,compilation,electronic (0.468); electronica (0.251); techno (0.224); experimental (0.185); compilation (0.170)
Context BERT,93518,Title: Mantilla. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.512); experimental (0.252); electronica (0.243); techno (0.241); idm (0.232)
Context BERT,93519,Title: Scorpio. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.461); electronica (0.262); techno (0.238); experimental (0.222); idm (0.215)
Context BERT,93520,Title: Slow Moving. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.507); experimental (0.274); electronica (0.265); techno (0.246); idm (0.223)
Context BERT,93521,Title: Ivory. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.460); electronica (0.243); techno (0.242); experimental (0.230); idm (0.219)
Context BERT,93522,Title: Snake Charm. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.479); techno (0.264); electronica (0.251); experimental (0.236); idm (0.236)
Context BERT,93523,Title: Up There. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.498); experimental (0.256); electronica (0.243); techno (0.235); idm (0.221)
Context BERT,95486,Title: Pop Music. Artist: Ventolyn & Becotyde. Album: Audissect. Genre: Pop,Pop,"electronic, ambient",instrumental (0.301); experimental (0.253); folk (0.228); electronic (0.155); rock (0.096)
Context BERT,111994,Title: Aego. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,instrumental (0.469); ambient (0.368); rock (0.150); folk (0.148); experimental (0.146)
Context BERT,112000,Title: Green. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,instrumental (0.499); ambient (0.369); rock (0.169); folk (0.144); electronic (0.144)
Context BERT,112001,Title: Blue. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,instrumental (0.473); ambient (0.367); rock (0.175); electronic (0.147); folk (0.145)
Context BERT,115002,Title: Squire Tuck - Get on the Funky Train to Groove Town. Artist: Squire Tuck. Album: Lost in the Moment. Genre: Instrumental,Instrumental,rock,instrumental (0.501); folk (0.229); ambient (0.176); rock (0.167); electronic (0.158)
Context BERT,115011,"Title: Squire Tuck - Funk In, Funk Out. Artist: Squire Tuck. Album: Lost in the Moment. Genre: Instrumental",Instrumental,rock,instrumental (0.569); folk (0.232); ambient (0.220); rock (0.169); electronic (0.127)
Context BERT,131410,Title: PITHIA. Artist: Suburban Howl. Album: Suburban Howl. Genre: Experimental,Experimental,"experimental, noise",experimental (0.782); noise (0.233); folk (0.203); rock (0.164); electronic (0.145)
Context BERT,136054,Title: Vertigo. Artist: Sinapsi. Album: Come Realtà. Genre: Rock,Rock,instrumental,instrumental (0.327); experimental (0.310); folk (0.264); ambient (0.127); techno (0.111)
Context BERT,137624,Title: You Can't Kill Me. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",instrumental (0.470); folk (0.425); experimental (0.211); downtempo (0.106); rock (0.101)
Context BERT,137627,Title: I Die Smiling. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",folk (0.449); instrumental (0.437); experimental (0.212); downtempo (0.112); rock (0.108)
Context BERT,137630,Title: The Bitten. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",instrumental (0.514); folk (0.431); experimental (0.201); downtempo (0.110); rock (0.103)
Context BERT,137631,Title: It's Cold But I'm Warm. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",folk (0.434); instrumental (0.421); experimental (0.209); downtempo (0.096); rock (0.096)
Context BERT,137632,Title: Mr. Yawning Infinity Chasm/SuperInfinity. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",instrumental (0.395); folk (0.358); experimental (0.266); downtempo (0.103); rock (0.099)
Context BERT,139933,Title: Intro. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",experimental (0.279); electronica (0.274); electronic (0.265); techno (0.212); idm (0.182)
Context BERT,139934,Title: Fasten your seatbelt. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.299); experimental (0.296); electronica (0.292); techno (0.193); idm (0.175)
Context BERT,139935,Title: Kevlar Boyz. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",experimental (0.301); electronic (0.288); electronica (0.276); techno (0.197); idm (0.175)
Context BERT,139936,Title: Particel Size. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.299); electronica (0.291); experimental (0.291); techno (0.205); idm (0.187)
Context BERT,139937,Title: Speleology. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",experimental (0.315); electronica (0.306); electronic (0.271); techno (0.200); idm (0.185)
Context BERT,144592,Title: Dark Matter. Artist: Trillion Catz. Album: The Big Numbers. Genre: Electronic,Electronic,downtempo,electronic (0.535); electronica (0.340); techno (0.207); idm (0.201); experimental (0.165)
GNN,10381,Title: Baron in the Trees. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.392); ambient (0.364); noise (0.287); folk (0.229); electronic (0.148)
GNN,10382,Title: New Dish Rag. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,noise (0.840); electronic (0.773); experimental (0.417); compilation (0.205); ambient (0.108)
GNN,10383,Title: Graceless Lady. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,electronic (0.396); experimental (0.222); folk (0.195); instrumental (0.169); ambient (0.081)
GNN,10384,Title: Blood Mumble. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.290); folk (0.286); electronic (0.216); instrumental (0.208); ambient (0.201)
GNN,10385,Title: Curee. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,noise (0.419); ambient (0.326); folk (0.257); experimental (0.222); instrumental (0.218)
GNN,10386,Title: The Birds &amp; The Herds. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,experimental (0.304); electronic (0.271); folk (0.250); instrumental (0.211); ambient (0.137)
GNN,10387,Title: Tease it Like a Cop. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,noise (0.770); experimental (0.568); ambient (0.354); folk (0.162); techno (0.051)
GNN,10388,Title: Night Lighter. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,ambient (0.464); experimental (0.265); electronic (0.232); folk (0.158); noise (0.097)
GNN,10389,Title: Terrapin (oh! syd). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,noise (0.750); electronic (0.552); rock (0.523); compilation (0.507); experimental (0.336)
GNN,10993,Title: Oh Country (Skin &amp; Bones). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,folk (0.388); experimental (0.300); instrumental (0.280); electronic (0.240); ambient (0.145)
GNN,15094,Title: banjo bird. Artist: guitarrorisms. Album: recordings without the frogs from the pond. Genre: Experimental,Experimental,"experimental, improvisation, jazz",electronic (0.433); experimental (0.360); noise (0.353); rock (0.271); jazz (0.157)
GNN,39316,Title: Hart Island. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",electronic (0.267); experimental (0.196); folk (0.182); instrumental (0.137); ambient (0.123)
GNN,39317,Title: Brave New World. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",electronic (0.503); experimental (0.221); instrumental (0.220); folk (0.134); ambient (0.067)
GNN,39318,Title: A Dream of Heaven in a Terminal Ward. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",electronic (0.559); instrumental (0.412); folk (0.141); rock (0.127); compilation (0.059)
GNN,42018,Title: La boite a track (Spain). Artist: Electronischebasisgeluide. Album: La Boite A Sons - Contest Contributions. Genre: Electronic,Electronic,"electronic, electronica, compilation",electronic (0.494); rock (0.388); ambient (0.278); instrumental (0.244); industrial (0.244)
GNN,51301,Title: Skeletons Fighting Over A Pickled Herring. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",folk (0.455); electronic (0.317); experimental (0.235); instrumental (0.187); ambient (0.081)
GNN,51305,Title: A Nation of Culls & Weeds. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",ambient (0.322); folk (0.232); electronic (0.187); instrumental (0.142); experimental (0.135)
GNN,57271,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,electronic (0.241); experimental (0.176); instrumental (0.175); ambient (0.070); rock (0.032)
GNN,57272,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,ambient (0.675); industrial (0.307); instrumental (0.227); rock (0.209); noise (0.167)
GNN,57273,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,ambient (0.731); industrial (0.693); instrumental (0.434); rock (0.283); electronic (0.177)
GNN,57274,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,ambient (0.657); instrumental (0.360); rock (0.230); industrial (0.176); folk (0.175)
GNN,59581,Title: Búsqueda exploratoria #005 - Tu pars.mp3. Artist: Circus Marcus. Album: Búsquedas Exploratorias. Genre: International,International,"improvisation, classical",noise (0.438); ambient (0.378); experimental (0.234); folk (0.198); rock (0.111)
GNN,63064,"Title: Underwater. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,electronic (0.969); folk (0.146); instrumental (0.085); experimental (0.044); ambient (0.031)
GNN,63065,"Title: Starkey. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,electronic (0.442); folk (0.391); experimental (0.235); noise (0.193); instrumental (0.063)
GNN,84777,Title: Nothings Wrong (Shufflin' Edit). Artist: Howse. Album: AS220's Spring Sampler 2013. Genre: Electronic,Electronic,compilation,folk (0.367); instrumental (0.306); ambient (0.294); electronic (0.279); noise (0.263)
GNN,93518,Title: Mantilla. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",instrumental (0.369); folk (0.356); noise (0.195); experimental (0.164); ambient (0.159)
GNN,93519,Title: Scorpio. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",folk (0.310); electronic (0.259); instrumental (0.226); noise (0.181); experimental (0.166)
GNN,93520,Title: Slow Moving. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",folk (0.347); instrumental (0.305); experimental (0.198); noise (0.175); electronic (0.155)
GNN,93521,Title: Ivory. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",folk (0.303); instrumental (0.278); electronic (0.186); experimental (0.164); noise (0.156)
GNN,93522,Title: Snake Charm. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",folk (0.350); instrumental (0.294); experimental (0.218); noise (0.208); electronic (0.145)
GNN,93523,Title: Up There. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",instrumental (0.367); folk (0.350); experimental (0.162); noise (0.155); ambient (0.146)
GNN,95486,Title: Pop Music. Artist: Ventolyn & Becotyde. Album: Audissect. Genre: Pop,Pop,"electronic, ambient",electronic (0.911); noise (0.201); techno (0.127); electronica (0.061); instrumental (0.036)
GNN,111994,Title: Aego. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,ambient (0.540); noise (0.289); electronic (0.169); industrial (0.140); folk (0.140)
GNN,112000,Title: Green. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,electronic (0.361); experimental (0.239); instrumental (0.173); folk (0.170); ambient (0.118)
GNN,112001,Title: Blue. Artist: Serakhe0n. Album: Signal. Genre: Instrumental,Instrumental,ambient,instrumental (0.266); folk (0.240); electronic (0.186); experimental (0.181); ambient (0.058)
GNN,115002,Title: Squire Tuck - Get on the Funky Train to Groove Town. Artist: Squire Tuck. Album: Lost in the Moment. Genre: Instrumental,Instrumental,rock,experimental (0.528); folk (0.282); noise (0.225); instrumental (0.110); electronic (0.042)
GNN,115011,"Title: Squire Tuck - Funk In, Funk Out. Artist: Squire Tuck. Album: Lost in the Moment. Genre: Instrumental",Instrumental,rock,electronic (0.569); ambient (0.274); noise (0.222); rock (0.102); experimental (0.081)
GNN,131410,Title: PITHIA. Artist: Suburban Howl. Album: Suburban Howl. Genre: Experimental,Experimental,"experimental, noise",experimental (0.654); folk (0.338); noise (0.319); ambient (0.260); instrumental (0.034)
GNN,136054,Title: Vertigo. Artist: Sinapsi. Album: Come Realtà. Genre: Rock,Rock,instrumental,instrumental (0.442); electronic (0.229); folk (0.225); compilation (0.120); ambient (0.095)
GNN,137624,Title: You Can't Kill Me. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",folk (0.347); experimental (0.283); electronic (0.206); instrumental (0.186); noise (0.122)
GNN,137627,Title: I Die Smiling. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",electronic (0.861); industrial (0.433); rock (0.330); noise (0.274); ambient (0.138)
GNN,137630,Title: The Bitten. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",noise (0.813); experimental (0.415); ambient (0.405); folk (0.196); electronic (0.140)
GNN,137631,Title: It's Cold But I'm Warm. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",noise (0.458); ambient (0.345); experimental (0.200); folk (0.115); rock (0.057)
GNN,137632,Title: Mr. Yawning Infinity Chasm/SuperInfinity. Artist: The Sun Through A Telescope. Album: I Die Smiling. Genre: Rock,Rock,"noise, ambient",noise (0.422); experimental (0.383); folk (0.316); electronic (0.212); instrumental (0.118)
GNN,139933,Title: Intro. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.466); industrial (0.340); ambient (0.312); rock (0.292); instrumental (0.265)
GNN,139934,Title: Fasten your seatbelt. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.313); ambient (0.202); instrumental (0.187); folk (0.138); electronica (0.135)
GNN,139935,Title: Kevlar Boyz. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.460); ambient (0.332); industrial (0.308); instrumental (0.237); electronica (0.212)
GNN,139936,Title: Particel Size. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.508); electronica (0.286); experimental (0.283); ambient (0.231); folk (0.165)
GNN,139937,Title: Speleology. Artist: Resonancedj & Giulio Maddaloni. Album: Rotated ( EP ). Genre: Electronic,Electronic,"electronica, electro",electronic (0.629); industrial (0.389); ambient (0.348); rock (0.243); idm (0.190)
GNN,144592,Title: Dark Matter. Artist: Trillion Catz. Album: The Big Numbers. Genre: Electronic,Electronic,downtempo,industrial (0.415); electronic (0.388); ambient (0.326); rock (0.311); instrumental (0.271)
Fusion,10381,Title: Baron in the Trees. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.491); folk (0.167); electronic (0.052); experimental (0.021); ambient (0.009)
Fusion,10382,Title: New Dish Rag. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.475); folk (0.119); electronic (0.083); experimental (0.030); rock (0.014)
Fusion,10383,Title: Graceless Lady. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.632); folk (0.194); electronic (0.114); experimental (0.048); industrial (0.022)
Fusion,10384,Title: Blood Mumble. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.418); folk (0.218); electronic (0.081); experimental (0.046); industrial (0.019)
Fusion,10385,Title: Curee. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.592); folk (0.106); electronic (0.067); experimental (0.023); ambient (0.009)
Fusion,10386,Title: The Birds &amp; The Herds. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.438); folk (0.197); electronic (0.100); experimental (0.048); industrial (0.023)
Fusion,10387,Title: Tease it Like a Cop. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.300); folk (0.131); electronic (0.075); experimental (0.027); ambient (0.011)
Fusion,10388,Title: Night Lighter. Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.578); folk (0.093); electronic (0.060); experimental (0.026); ambient (0.009)
Fusion,10389,Title: Terrapin (oh! syd). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.612); folk (0.200); electronic (0.119); experimental (0.046); rock (0.017)
Fusion,10993,Title: Oh Country (Skin &amp; Bones). Artist: Big Blood. Album: Big Blood & The Bleedin' Hearts. Genre: Folk,Folk,folk,instrumental (0.396); folk (0.217); electronic (0.179); experimental (0.043); idm (0.020)
Fusion,15094,Title: banjo bird. Artist: guitarrorisms. Album: recordings without the frogs from the pond. Genre: Experimental,Experimental,"experimental, improvisation, jazz",experimental (0.332); instrumental (0.088); electronic (0.055); noise (0.045); folk (0.035)
Fusion,39316,Title: Hart Island. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",experimental (0.351); instrumental (0.326); electronic (0.108); noise (0.047); folk (0.029)
Fusion,39317,Title: Brave New World. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",instrumental (0.368); experimental (0.288); electronic (0.176); folk (0.063); noise (0.059)
Fusion,39318,Title: A Dream of Heaven in a Terminal Ward. Artist: John Badger & The Moustache Riders of Doom. Album: Saint Carbonarius Speaks. Genre: Experimental,Experimental,"experimental, electronic",instrumental (0.228); electronic (0.210); experimental (0.149); folk (0.064); noise (0.045)
Fusion,42018,Title: La boite a track (Spain). Artist: Electronischebasisgeluide. Album: La Boite A Sons - Contest Contributions. Genre: Electronic,Electronic,"electronic, electronica, compilation",electronic (0.834); electronica (0.563); compilation (0.318); instrumental (0.094); rock (0.083)
Fusion,51301,Title: Skeletons Fighting Over A Pickled Herring. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",instrumental (0.264); experimental (0.207); electronic (0.159); folk (0.108); noise (0.052)
Fusion,51305,Title: A Nation of Culls & Weeds. Artist: John Badger & The Moustache Riders of Doom. Album: The Hanging Man. Genre: Experimental,Experimental,"experimental, electronic",instrumental (0.360); experimental (0.167); electronic (0.069); folk (0.068); noise (0.015)
Fusion,57271,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.833); instrumental (0.039); noise (0.020); electronic (0.017); rock (0.009)
Fusion,57272,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.699); instrumental (0.066); electronic (0.034); noise (0.026); rock (0.022)
Fusion,57273,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.607); instrumental (0.068); electronic (0.025); rock (0.018); noise (0.017)
Fusion,57274,Title: The existence of the light. Artist: Sol Rezza. Album: The existence of the light. Genre: Experimental,Experimental,experimental,experimental (0.821); instrumental (0.071); noise (0.044); electronic (0.035); rock (0.018)
Fusion,59581,Title: Búsqueda exploratoria #005 - Tu pars.mp3. Artist: Circus Marcus. Album: Búsquedas Exploratorias. Genre: International,International,"improvisation, classical",experimental (0.070); electronic (0.065); electronica (0.045); instrumental (0.042); ambient (0.017)
Fusion,63064,"Title: Underwater. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,electronic (0.394); instrumental (0.187); electronica (0.100); idm (0.094); techno (0.086)
Fusion,63065,"Title: Starkey. Artist: Koona. Album: Underwater, Starkey. Genre: Electronic",Electronic,electronic,electronic (0.262); techno (0.150); electronica (0.149); instrumental (0.119); idm (0.100)
Fusion,84777,Title: Nothings Wrong (Shufflin' Edit). Artist: Howse. Album: AS220's Spring Sampler 2013. Genre: Electronic,Electronic,compilation,electronic (0.398); compilation (0.124); techno (0.082); instrumental (0.065); folk (0.056)
Fusion,93518,Title: Mantilla. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.365); instrumental (0.059); ambient (0.041); techno (0.026); electronica (0.025)
Fusion,93519,Title: Scorpio. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.369); instrumental (0.067); ambient (0.030); electronica (0.029); experimental (0.024)
Fusion,93520,Title: Slow Moving. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.409); electronica (0.063); instrumental (0.057); techno (0.050); ambient (0.049)
Fusion,93521,Title: Ivory. Artist: Moon Veil. Album: Snake Charm. Genre: Electronic,Electronic,"ambient, electronica",electronic (0.239); techno (0.103); electronica (0.091); ambient (0.055); instrumental (0.047)
